MEMBER A EXPERIMENT LOG
==============================
Experiment, Error_c, Error_u, Error_v, Error_w, Error_p
Exp5_Depth_5x250, 1.0031521028316694, 0.9971480106756893, 0.994775885376125, 0.9984824320849147, 1.004408762416075
Exp5_Depth_8x250, 1.001373998834487, 0.9999407447841395, 0.9999213582513361, 1.0008979535147207, 1.000486649920401
Exp5_Depth_10x250, 1.005202522016674, 1.0002767659053693, 1.0003473025078633, 1.000475448924184, 1.0000318882254442
Exp5_Depth_12x250, 1.005652648350443, 1.000605269934989, 1.0003518003589995, 1.00038192371447, 1.000007122350982
Exp5_Width_10x100, 1.003989412432592, 1.0003238690996417, 1.0078698345545383, 1.0002005331734605, 1.000076542543516
Exp5_Width_10x250, 1.0054804299964004, 1.0006195355292689, 1.0001736370006737, 1.0005310475576419, 1.0000556231123543
Exp5_Width_10x400, 1.0243752232090126, 1.0006610419195536, 1.0003731628872312, 1.000893261979351, 1.0002348527012548
Exp6_Activation_tanh, 1.005441653313654, 1.0004615308494582, 1.0013129678524646, 1.0005073490383312, 1.0000424113798052
Exp6_Activation_swish, 1.514728289537748, 0.9407811106301194, 0.8936371273819083, 0.8576554397617897, 1.0130107994596325

